scenario,accuracy,attack_precision,attack_recall,attack_f1,macro_f1
(a) baseline: Monday-only -> Tuesday,0.6393566153605841,0.5662717925793473,0.040258538155035495,0.07517274376064001,0.4255882727187191
(b) AL: Monday + 500 uncertain Tuesday,0.6413506323580921,0.6176505807687702,0.040981555122098494,0.07686318338455807,0.4271526742987762
(c) RANDOM: Monday + 500 random Tuesday,0.8497769595285032,0.9177358703949786,0.6452160499962233,0.757717375065362,0.8244287777754681
