model,accuracy,normal_precision,normal_recall,normal_f1,attack_precision,attack_recall,attack_f1,macro_f1,weighted_f1,predict_sec
Decision Tree (balanced),0.6361833712753433,0.6360940153875979,0.9999749819756506,0.7775687976450385,0.945,0.0007508253119500403,0.0015004584734224346,0.38953462805923045,0.4950224348114838,0.16473007202148438
Logistic Regression (balanced),0.6393566153605841,0.6412985701771318,0.982346372272751,0.7760038016767982,0.5662717925793473,0.040258538155035495,0.07517274376064001,0.4255882727187191,0.5208493824327808,0.09101247787475586
kNN (k=5),0.6365637555936743,0.6363613992168671,0.9998294225612544,0.7777245072525559,0.8730964467005076,0.0020498722802445545,0.004090141648897802,0.39090732445072685,0.4960642910946839,139.05831837654114
