model,accuracy,normal_precision,normal_recall,normal_f1,attack_precision,attack_recall,attack_f1,macro_f1,weighted_f1,predict_sec
Decision Tree (balanced),0.6361833712753433,0.6360940153875979,0.9999749819756506,0.7775687976450385,0.945,0.0007508253119500403,0.0015004584734224346,0.38953462805923045,0.4950224348114838,0.10265016555786133
Logistic Regression (balanced),0.6401173839972462,0.6415784913565448,0.9835426887098205,0.776581884658518,0.583419689119171,0.040258538155035495,0.07531968501596102,0.42595078483723947,0.5212704978892054,0.01755690574645996
kNN (k=5),0.6365637555936743,0.6363613992168671,0.9998294225612544,0.7777245072525559,0.8730964467005076,0.0020498722802445545,0.004090141648897802,0.39090732445072685,0.4960642910946839,35.588499784469604
