scenario,accuracy,attack_precision,attack_recall,attack_f1,macro_f1
(a) baseline: Monday-only -> Tuesday,0.6401173839972462,0.583419689119171,0.040258538155035495,0.07531968501596102,0.42595078483723947
(b) AL: Monday + 500 uncertain Tuesday,0.6415720807172032,0.622144955338409,0.04122916790815009,0.07733349230241882,0.4274594345982948
(c) RANDOM: Monday + 500 random Tuesday,0.8490995880771045,0.9166577081718447,0.6440790493720656,0.756565798076025,0.8236135224465609
